Strain,Type,Rating,Effects,Flavor,Description
Thaidal-Wave,hybrid,3.8,"Uplifted,Euphoric,Creative,Energetic,Focused","","Thaidal Wave is a perfectly named hybrid that hits you with a wave of get-up-and-go energy that is perfect for daytime, taking on creative projects or social activities with friends. This hybrid has strong Thai genetics, which explains its invigorating sativa effects with a lack of laziness and sedation. Thaidal Wave is a strain to calm the mind, but it may not provide enough body effects for those looking to treat severe pain or other medical issues. "
The-Big-Dirty,hybrid,5,"Uplifted,Hungry,Relaxed","Lemon,Earthy","The Big Dirty is a strain shrouded in mystery. This hybrid cross of either Black Raven x Tangie or Girl Scout Cookies x Tangie x White Fire OG has been known to develop dark foliage and a pleasant citrus aroma. The effects are said to be moderate, offering consumers mild euphoria juxtaposed against heavy relaxation. "
The-Black,indica,4.4,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Earthy,Sweet,Woody","The Black is a strong 90% indica bred by BC Bud Depot. This strain dates back to the late 1980's, originating in California and on Vancouver Island in Canada. As characteristic of many indicas, this strain is optimally used for pain relief and as a sleeping aid. The Black was named after its unique growering characteristics: frosty leaves turn from a dark purple to black during flowering, reaching maturity between 8 to 10 weeks."
The-Blintz,hybrid,5,"Uplifted,Creative,Energetic,Focused,Happy","Lavender,Earthy,Pungent","Bred by Terraform Genetics, The Bintz is a dense hybrid strain that crosses Cheese Quake with Josh D.O.G. Its aroma is a mix of cheese and berries, finishing with the classic piney OG flavor. The Blintz, making this an ideal strain for daytime activity."
The-Blood,sativa,4.6,"Uplifted,Aroused,Creative,Energetic,Euphoric","Earthy,Pungent,Tropical","The Blood is a Hawaiian landrace phenotype that appears so rarely that it has gained a mythological status among growers. The Blood was given its name for the red veins found in its stems and leaves, and the deep red sap that flows from them. The Pua Mana 1st Hawaiian Pakalōlō Seed Bank’s Kona Gold “Blood” phenotype and other “Blood” phenotypes are believed to be a sign from Ke Akua (God), blessing the grower and signaling an abundant harvest."
The-Brotherhood,hybrid,4.5,"Happy,Uplifted,Euphoric,Relaxed,Hungry","Earthy,Coffee,Sweet","The Brotherhood by Animas Seed Co. is a stimulating cross of Slick Willie and Icarus. This strain has a quick onset and robust longevity, making it ideal for anyone seeking some get-up-and-go. Hitting firmly between the eyes and rippling outward throughout the body, The Brotherhood offers a stimulating alertness ideal for exercise, sports, or outdoor activity. Do not indulge in this particular strain near or before bed as the stimulating effects can easily postpone rest.  "
The-Cough,sativa,4.5,"Uplifted,Euphoric,Energetic,Focused,Giggly","Pungent,Pine,Citrus","The Cough is a sativa-dominant hybrid of the renowned Northern Lights #5 and Haze. This cross is named for its thick smoke that expands the lungs and often causes consumers to cough. The flavor and aroma is a mixture of earthy, hash notes and a hint of citrus. The Cough produces a happy mindset and a relaxed body making it a great strain to counter stress."
The-Doctor,indica,4.4,"Euphoric,Happy,Sleepy,Aroused,Energetic","Citrus,Sweet,Grapefruit","Bred by Green House Seeds, The Doctor is an indica-dominant strain designed to treat a myriad of unpleasant symptoms such as pain, nausea, appetite loss, and insomnia. Its name also comes in tribute to the motorcycle racer Valentino Rossi, also called “The Doctor.” Heavy sedating effects act fast, leaving you feeling pacified and calm. Earthy flavors soured by skunky, fruity notes arrive on the inhale, making their exit with the taste of hashy spice. Great White Shark, Super Skunk, and an unnamed South Indian parent lend The Doctor its genetic blueprint."
The-Flav,hybrid,4.2,"Euphoric,Relaxed,Happy,Sleepy,Energetic","Berry,Flowery,Diesel","The Flav combines the oily, thick rich fruity taste of Romulan with the cherry goodness of Space Queen. It's a 40/60 sativa/indica hybrid that provides a heavy yield and was included in High Times' Top 10 of 2008."
The-Fork,sativa,0,"None","","Colorado Seed Inc.’s “The Fork” is dubbed as such because the original breeders utilized a fork, a knife, and a spoon in lieu of tagging their three mysterious Hawaiian strains with specific names. Those marked with a knife and spoon turned out to be less than satisfactory, but “The Fork” expressed brilliant sativa-dominant qualities that could not be ignored. With effects similar to those of Durban Poison, The Fork dishes up exhilarating physical and mental energy that encourages activity."
The-Gift,hybrid,5,"Uplifted,Relaxed","Sweet,Earthy","The Gift is a Ringo’s Gift backcross created from seeds gifted to UV Organics by Lawrence Ringo’s son. This potent CBD-dominant hybrid offers a slight bent on the original Ringo’s Gift genetics in terms of flavor and aroma while keeping its robust cannabinoid profile intact. The Gift creates massive CBD/THC ratios like its forebear, but offers sweeter, fruit-forward notes that contrast against the foresty bouquet of Ringo’s Gift. This strain is ideal for consumers seeking calming, anti-inflammatory effects without much headiness due to its nearly nonexistent THC content.    "
The-Grunk,hybrid,4.6,"Euphoric,Happy,Uplifted,Relaxed,Tingly","Grape,Skunk,Sweet","The Grunk is a perfect representation of its parent strains Grape Ape and Skunk #1. The aroma is sweet and fruity, mixing with pungent skunky notes to create a flavorful burst of earthy, grape flavors upon exhale. The relaxing indica-dominant effects calm body pains and are balanced by a clear-headed cerebral buzz that lifts away anxieties."
Hog,indica,4,"Giggly,Sleepy,Relaxed,Euphoric,Happy","Woody,Sweet,Earthy","Originally bred by T.H. Seeds in Amsterdam, The Hog is regarded as one of the strongest strains in the world and won a High Times Cannabis Cup for the best indica in 2002. This strain is recognized by its pungent aroma, indicative of its world-renowned, extremely heavy body buzz. In fact, it is so potent that many advise cautionary dosage control. The short plant is relatively easy to grow indoors or outdoors (with slightly taller growth outdoors) and has a flowering time between 8 to 10 weeks. The yield is high given the plant’s size, producing buds with high THC content ideal for pain relief and other medical uses."
The-Loops,indica,5,"Euphoric,Giggly,Happy,Relaxed,Sleepy","None","The Loops is a potent indica-dominant cross of Granddaddy Purple, OG Kush, and Volcano Hash created by Insanity Strains. This sedative strain expresses frosty purple buds wrapped in dark green foliage and bright orange hairs. The Loops is a heavy indica that erases problems from the mind while locking the consumer to the couch. High levels of THC and the terpene Myrcene ensure a relaxing experience that evaporates stress and remedies restlessness."
The-Ox,indica,4.8,"Relaxed,Hungry,Euphoric,Happy,Uplifted","Coffee,Berry,Sweet","Rare Dankness created their own version of Bubba Kush by crossing it with their Stone Mountain, a Bubba Kush and Blue Moonshine hybrid. The OX has a delightful flavor of coffee and berries, and a high CBD content, making it a good choice for medical users. Many indica hybrids have been created using The OX, including Chem OX, Blue OX, and Harlox."
The-One,hybrid,4.9,"Happy,Giggly,Euphoric,Relaxed,Tingly","Pungent,Pine,Diesel","The One, originally bred by Clackamas Coots or CC, is a perfectly balanced hybrid of two landrace strains. It is sometimes referred to by its genetic combination Thai x Pure Afghan, with its sativa heritage stemming from its Thai background and the Afghan influence bringing a thick resinous frosting of trichomes. This specific combination of two cornerstone landrace strains is known to only be available through a select circle of breeders and growers in Oregon. "
The-Ooze,indica,5,"Tingly,Uplifted,Creative,Euphoric,Focused","Spicy/Herbal,Sweet,Apple","The Ooze is an 80/20 indica-dominant cross of Green Crack and White Fire Alien OG. With effects that sedate and relax, The Ooze takes its title seriously. Employ this heavyweight in the evening to stimulate appetite and encourage rest, or look to this strain for contending with strong social anxiety. Just don’t plan on doing too much too fast. "
The-Sauce,hybrid,4.8,"Happy,Uplifted,Relaxed,Euphoric,Creative","Earthy,Sweet,Citrus","The Sauce is a 60/40 sativa-dominant hybrid bred by Exotic Genetix. Using a backcross of Green Ribbon to pollenate a Gorilla Glue #4 mother, the Northwest breeder created a potent blend that emits a mix of chocolate, lime and diesel flavors. The Sauce took the prize for Judge’s Choice at the 2015 DOPE Cup in Seattle."
The-Sheriff,hybrid,4,"Sleepy,Uplifted,Relaxed","Earthy,Woody","The Sheriff is a sativa-dominant hybrid cross between Chemdawg 91 and SFV OG Kush, two classic staples known for their potent cerebral euphoria. Taking after its parents, The Sheriff’s uplifting effects shake creativity and happiness awake while lending a physical relaxation conducive to rest or meditation."
The-Sister,indica,4.3,"Relaxed,Uplifted,Creative,Euphoric,Focused","Sweet,Diesel,Citrus","The Sister is an 80/20 indica-dominant strain that is said to be a rare “sister” cut of Chemdawg. Although led by indica genetics, The Sister provides uplifting, clear-headed euphoria that leaves the mind awake and nimble for creative endeavors while also kick-starting the appetite. Like her sister, this strain takes on a sweet citrus and sour diesel aroma."
The-Third-Dimension,hybrid,4.5,"Uplifted,Happy,Energetic,Euphoric,Creative","Citrus,Earthy,Chemical","The Third Dimension, also known as 3D, from TGA Genetics combines the best of three potent parent strains: Apollo 13, Jack’s Cleaner, and Space Queen. This sativa-dominant hybrid will gently lift you into a creative cerebral space devoid of stress, and with larger doses comes the more powerful metaphysical experience implied by 3D’s name. It may be difficult to resist the pungent, fruity aroma of mango, pineapple, and lemon, but novice cannabis consumers are urged to approach this heavy-hitter with caution. Growers praise 3D for its short maturation cycle that gives rise to moderate yields of sharply pointed buds blanketed in resin following an indoor flowering time of 45 to 50 days."
The-Truth,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Happy,Sleepy","Earthy,Woody,Berry","The Truth by True Canna Genetics is a rare indica-dominant strain that crosses Triangle Kush with a SFV OG and a backcrossed Chemdawg hybrid. Its heavy painkilling properties are accented by an earthy, spicy aroma characteristic of Kush varieties. The Truth is a colorful high-yielding strain that flowers in 63 days indoors or in early October for outdoor gardens."
The-Void,hybrid,4.5,"Happy,Uplifted,Relaxed,Euphoric,Sleepy","Sweet,Grape,Flowery","The Void, also known as Purple Apollo 13, is a sativa-dominant hybrid cross between Apollo 13 and Querkle from TGA Genetics. It tastes similar to grape saltwater taffy and provides a soaring, motivational high."
The-White,hybrid,4.6,"Relaxed,Euphoric,Happy,Creative,Uplifted","Earthy,Pine,Pungent","This mysterious strain, supposedly from somewhere in Florida and originally called “Triangle,” is aptly named; The White is covered with so many white trichomes that the buds look like they were rolled in confectioner’s sugar. While it looks much like an OG in structure and certainly has the potency associated with the best OG Kush cuts, it has little of the smell or flavor found in those West Coast favorites. In fact, The White is actually known for a distinct lack of odor or flavor, leaving some to pass it over in favor of other more pungent varieties. The high is usually described as a true hybrid effect with equal body and head sensation, and definitely very potent."
The-White-Angel,hybrid,4.2,"Aroused,Relaxed","Diesel,Pungent,Pine","The White Angel (AKA White Angel OG) is an award-winning strain and longstanding veteran of the Los Angeles cannabis community. The breeders, also called White Angel, created this strain by crossing a triple backcrossed White Widow with the potent California native, SFV OG. This perfect 50/50 hybrid consistently tests at or above 30% total THC. The White Angel’s rich aroma is a seductive perfume of pine and sweet citrus. It has a well-developed bud structure and robust resin production, and offers consumers deep relaxation alongside pain and insomnia relieving attributes. "
The-Wife,hybrid,4.9,"Relaxed,Uplifted,Happy,Tingly,Euphoric","Lemon,Sweet,Tree,Fruit","The Wife by Terrapin Care Station is a robust CBD hybrid with a nearly 20:1 CBD/THC ratio. While the genetics remain unknown, The Wife delivers traditional CBD-rich elements including the flavor of fresh cherries and soothing physical effects without psychoactivity. Enjoy this strain to curb a variety of physical ailments such as nausea, chronic pain, migraines, and chemotherapy side effects."
The-Wills,hybrid,0,"Talkative,Tingly,Uplifted,Creative,Euphoric","Pungent,Woody,Pine","The Wills is a flavorful Willy’s Wonder phenotype that has been floating around Western Washington for decades. This “local landrace” was shared among breeders throughout the Pacific Northwest for its pleasurable effects and eagerness to grow. Offering Kush-like, indica-dominant effects, The Wills lays into the limbs while uplifting the mind, naturally dissipating stress and enhancing mood. It emits a strong aroma of pine and citrus that is nearly astringent, while the flavor offers up complex floral notes and a clean pine finish."
Thelonious-Skunk,hybrid,4.8,"Euphoric,Happy,Relaxed,Uplifted,Energetic","Skunk,Citrus,Spicy/Herbal","Thelonious Skunk, named for Colorado Seed Inc.’s favorite jazz musician, Thelonious Monk, is the funky lovechild of Island Sweet Skunk and Nina Limone. This upbeat, bebopping combo exhibits tropical flavors like citrus trees and sweet earth, mixed with a distinct skunky undertone. Its bouquet of diverse smells aligns well with its energizing effects, which wrap the consumer in a pleasant, upbeat haze that helps combat depression and lethargy.   "
Thin-Mint,hybrid,4.6,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Minty,Mint,Sweet","Thin Mint, a hybrid cross containing Durban Poison and OG Kush genetics, is a phenotype of the legendary GSC strain. Dark green and royal purple hues peek through a heavy coat of crystals, with a sweet minty smell that gives a full explanation of this strain’s name. Thin Mint calls upon the powers of its indica, sativa, and hybrid ancestors for a powerful full-body effect that gives this strain its sterling reputation. The high psychoactivity of this strain is not for novice consumers, but patients with a variety of symptoms are giving Thin Mint their seal of approval: severe pain, nausea, swelling, insomnia, and appetite loss are no match for the potency of Thin Mint."
Think-Different,hybrid,4.3,"Happy,Energetic,Creative,Focused,Uplifted","Flowery,Sweet,Lemon","Think Different is a durable plant with strong sativa effects that leave consumers feeling dreamy and relaxed. A colorful and well-rounded strain from Dutch Passion, Think Different provides a balance of hybrid genetics concocted by crossing AK-420 with the automatic-flowering capabilities of an undefined ruderalis strain. The sweet and spicy aroma will entice you, while the fast-acting, uplifting high will give a boost to your creativity and help you think outside the box. "
Thors-Hammer,sativa,4.3,"Euphoric,Creative,Energetic,Happy,Aroused","Sweet,Pungent,Menthol","Thor’s Hammer by SnowHigh Seeds is an uplifting sativa strain that combines genetics from Vortex, Cinderella 99, and Acapulco Gold. Like a bolt of lightning commanded by the Norse god himself, Thor’s Hammer delivers an electrifying blast of cerebral energy that awakens creativity and motivation. Its lightweight body effects make this strain a great choice for daytime use, and patients needing to crush fatigue and depression like the giants of Jotunheimr will likely find Thor’s Hammer to be the perfect weapon. You may also find a genetic variant of Thor's Hammer from Alaska that instead combines God Bud and Sour Diesel in a more balanced indica-sativa hybrid cross."
Throwback-Kush,indica,4.3,"Hungry,Relaxed,Sleepy,Happy","Earthy,Woody","Throwback Kush is an indica-dominant cannabis strain bred by Exotic Genetix. It is a combination of an old-school OG Kush mother from the 1990s and a Green Ribbon BX (backcross) father. The resulting hybrid creates a mix of citrus flavors with a sharp, pungent note that is reminiscent of Pinesol and gives way to relaxing indica effects that are balanced by a dash of uplifting sativa energy."
Thunderbird-Rose,sativa,4.8,"Euphoric,Uplifted,Relaxed,Focused,Happy","Rose,Sweet,Earthy","Thunderbird Rose is a sativa strain bred by Kotton for Rebel Spirit Cannabis of Eugene, Oregon. This strain produces large lime green buds that express engorged trichome-covered calyxes and crimson pistils. Thunderbird Rose is a generous producer that has a healthy resistance to mold and pests. The aroma is floral with notes of deep green forest, fuel, and blueberry. Thunderbird Rose is an uplifting and euphoric cross that arouses creativity and enhances mood. "
Thunderstruck,sativa,4.9,"Relaxed,Uplifted,Creative,Focused,Talkative","Sweet,Earthy,Tropical","Thunderstruck is a powerful rock ‘n’ roll themed CBD strain without the big hair. Named after the AC/DC song of the same name, you might have guessed that Thunderstruck is the genetic cross of two high-CBD ACDC phenotypes. And just when you thought things couldn't get more metal, Thunderstruck offers consumers a 12:1 CBD/THC ratio that can help ease nausea, abate seizure activity, and reduce inflammation all while keeping the consumer clear headed. The aroma and flavors of Thunderstruck are grassy and subtle. Enjoy this sativa-dominant cross if you are looking for a quality medicinal strain with little to no psychoactive effects.     "
Tickle-Kush,hybrid,4.3,"Happy,Uplifted,Creative,Euphoric,Sleepy","Berry,Apple,Spicy/Herbal","Tickle Kush is a relatively new strain bred by Greenwerkz in Colorado. It is a compelling hybrid that combines the earthy diesel flavors of Chemdawg with the pungent and vigorous LA Kush. Tickle Kush was selected as one of “Earth’s Strongest Strains of 2014” by High Times, claiming THC levels reaching up to 27%. Its short stature and quick flowering period make Tickle Kush a great strain for indoor cultivation. The potent effects are a balanced mixture of a happy sativa head buzz with deep, relaxing indica properties."
Tiger-Woods,hybrid,4.1,"Relaxed,Giggly,Hungry,Creative,Energetic","Sweet,Flowery,Pungent","Tiger Woods is a sativa-dominant hybrid named after the famous American golfer of the same name. This strain has been known to yield a lower-than-average THC percentage of between 10-15%. Coupled with Tiger Woods’ happy and slightly stimulating effects, this herb is ideal for beginners looking for a heady entry point. The buds are dense and small but can pack a punch. Some have experienced paranoia when smoking this flower in large doses.   "
Tigers-Milk,indica,4.6,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Earthy,Pungent,Flowery","Tiger’s Milk by Bodhi Seeds is a powerful indica-dominant strain that descends from Bubba Kush and Appalachia. Initially, Tiger’s Milk hits with intense cerebral euphoria, an experience described by its breeders as being borderline psychedelic. Tapering down to restful relaxation over time, this indica is commonly looked to for its pain-relieving and sleepy qualities. Its aroma is a complex mix of earthy notes, led by hints of sweet honey and hashy spice. "
Tigermelon,indica,3,"Happy,Creative,Relaxed","Spicy/Herbal,Citrus,Chestnut","Tigermelon is a mysterious strain of unknown origin that has been used by the breeder Bodhi Seeds to create some spectacular hybrids such as Snow Leopard. It is thought to be a three-way cross of Chemdawg, Apollo 11 (Genius cut) and an Uzbekistani indica, and the smell has been described by Bodhi as “sandalwood mango lassi.”"
Tillamook-Strawberry,hybrid,4.7,"Happy,Relaxed,Focused,Euphoric,Energetic","Strawberry,Sweet,Berry","Tillamook Strawberry is a mash-up between Alphakronik Genes and Dark Horse Genetics for AKG’s Collaboration Series. Described by the breeder as the “diesel lover’s dream,” Tillamook Strawberry smells like a gas station in a strawberry field. The strain’s foliage is deep green with tight buds and the effects are bright yet soothing, promoting focus and relaxation. Utilize Tillamook Strawberry to improve your mood and counter depression and anxiety. "
Timewreck,sativa,4.4,"Euphoric,Happy,Uplifted,Talkative,Giggly","Citrus,Pepper,Grapefruit","Bred by TGA Genetics, Timewreck is a 70% sativa cross between Vortex and Blood Wreck (Chernobyl x Qrazy Train). The sour, fruity flavors of Vortex enliven Trainwreck’s subtle earthy aromas with pungent notes of lemon, lime, sandalwood, and pear. Timewreck’s High Times Cup-winning THC content delivers potent relief to severe medical symptoms, but novice consumers should be wary of this sativa’s intensity. In large doses, Timewreck induces a disorienting euphoria that begins to justify this strain’s name, but smaller amounts are more likely to bring on engaged creativity and energy. Timewreck typically produces moderate indoor yields following its 60 to 70 day flowering time."
Tina-Danza,hybrid,4.6,"Happy,Euphoric,Relaxed,Sleepy,Creative","Earthy,Pine,Lemon","From Swamp Boys Seeds comes Tina Danza, a hybrid strain that crosses Triangle Kush and Georgia Pine. This strain hits the head immediately and slowly settles into the body. Tina Danza has a funky chemical aroma with notes of cardamom and pine throughout."
Titans-Haze,sativa,4.3,"Happy,Tingly,Energetic,Euphoric,Talkative","Spicy/Herbal,Pungent,Skunk","Bred by Flying Dutchmen, Titan’s Haze is sativa cross of Haze and Skunk #1. This strain brings a powerful cerebral rush that sativa connoisseurs crave with the smell and flavor of herbal spice. It’s a go-to hybrid for creative minds looking for that stimulating and energizing buzz during daytime hours. These plants fare well in high humidity or dry climates and have proven resistant to pests and molds."
Tokyo-Og,hybrid,4.6,"Euphoric,Relaxed,Happy,Uplifted,Sleepy","Pine,Lemon,Sweet","Tokyo OG, originating from Northern California, is yet another rendition of the famous OG Kush hybrid. This cutting preserves the traditional OG aroma that blends lemon and pine with a distinctive diesel bite. Indica characteristics shine through in this phenotype, offering a dense, chunky bud structure and relaxing effects that help many consumers put to sleep anxiety, pain, and stress. However, novices beware: Tokyo OG oftentimes boasts a staggeringly high THC content that can exacerbate anxiety rather than alleviate it."
Tommys-Home-Grown,hybrid,4,"Energetic,Relaxed,Uplifted,Creative,Focused","Earthy,Spicy/Herbal,Tropical","Tommy’s Home Grown, or THG for short, is a balanced hybrid strain that falls under the “Chong Certified” label. Exclusively offered at Encanto Green Cross in Phoenix, THG delivers uplifting and energizing effects alongside a sweet tropical aroma. Comfortable and functional, Tommy’s Home Grown is a favorite for winding down after a long and stressful day."
Tonics-Web,indica,0,"None","None","Tonics Web is a seed-only strain from THClones. This flower was bred by blending the ever-popular and CBD-rich Charlotte’s Web with Chocolate Tonic. Together they create a sweet and savory bouquet of coffee, pine, and citrus, delivering tingly physical effects that lead to couch lock. The mental state is creative, but stunted by the strain’s heavy relaxation. As with most indicas, Tonics Web is best utilized at night to harness the powerful sedation native to this strain. "
Tora-Bora,indica,4.5,"Happy,Relaxed,Sleepy,Euphoric,Creative","Pine,Earthy,Berry","Tora Bora is an almost pure indica strain with powerfully heavy effects meant for high-tolerance cannabis veterans. Named after the region near the Afghanistan-Pakistan border, DNA Genetics bred this 99% indica strain by combining L.A. Confidential and X18 Pure Pakistani. The result is a resin-loaded, spicy-smelling indica that can appear almost blue in its coloration. Few strains will deliver better relief for pain and insomnia, and recreational consumers will enjoy the intensity of Tora Bora as long as no plans are made to leave the house. Tora Bora finishes its vegetative cycle quickly and flowers in just a short 8 to 9 weeks indoors."
Toxic,hybrid,4.5,"Sleepy,Focused,Happy,Relaxed,Energetic","Flowery,Earthy","Toxic is a strain created from two of Ripper Seeds’ most award-winning strains, Ripper Haze x Criminal. This combination bends supplementary parts of the Haze and Critical Mass lineages to fashion a potent and dense flower with natural resistance to pests and mold. These natural resistances alongside the 60-65 day flowering time make Toxic an ideal strain for outdoor growers. Its abundance of trichomes and overall resin production also make it a perfect strain for extraction. Toxic won 1st Prize Resins at the 2016 Expogrow Cup in Spain.    "
Toxic-Punch,hybrid,4.1,"Happy,Hungry,Relaxed,Energetic,Uplifted","Pine,Berry,Citrus","Toxic Punch is a sativa-dominant concoction that crosses a hybrid of White Widow and Casey Jones with Blueberry. The fruity aromas of Toxic Punch are mixed with hints of berry and skunk that turn into a piney flavor on exhale. This hybrid gives consumers an energetic burst of heady effects that calms stress and won’t overcloud your thoughts."
Training-Day,indica,4.5,"Relaxed,Euphoric,Tingly,Happy,Sleepy","Citrus,Lime,Chemical","Bred by DNA Genetics, Training Day is a 70% indica that combines parent strains Trainwreck and LA Confidential. This California native takes after its LA Confidential parent in aroma and delivers a pungent earthy and pine flavor. As demonstrated by its thick blanket of crystal resin, Training Day will put your THC tolerance to the test so novices should approach this strain with caution."
Trainwreck,hybrid,4.2,"Happy,Euphoric,Relaxed,Uplifted,Creative","Earthy,Pine,Lemon","Trainwreck is a mind-bending hybrid with potent sativa effects that hit like a freight train. Mexican and Thai sativas were bred with Afghani indicas to produce this Northern California staple, passing on a sweet lemon and spicy pine aroma. Trainwreck begins its speedy hurtle through the mind with a surge of euphoria, awakening creativity and happiness. Migraines, pain, and arthritis are mowed down by Trainwreck’s high THC content, and many patients also use it for relief of anxiety, ADD/ADHD, and PTSD. Trainwreck flowers finish up in early October outdoors, while indoor gardens are ready for harvest 8 weeks into flowering."
Tranquil-Elephantizer-Remix,indica,4.3,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Sweet,Berry,Earthy","Tranquil Elephantizer: Remix by Bodhi Seeds is heavy, sensual indica strain built to please the body. Created by combining Ndnguy’s 1988 G13/Hash Plant (also known as Deadly G) and the rare Snow Lotus, Tranquil Elephantizer offers a pleasurable sensory experience combined with pleasant indica-dominant sedation. This strain has a pungent and herbaceous odor with just a hint of sweetness and spice. Its flavors are earthy and herbal, leaving notes of pepper and pine on the palate. Enjoy Tranquil Elephantizer to excite the body while mellowing the mood. "
Transformer,hybrid,4,"Sleepy,Tingly,Uplifted,Creative,Energetic","","Transformer by Gage Green Genetics is a combination of Inferno Haze and Joseph OG. This plant grows tall and develops long, spear-like colas. It retains strong citrus and woody aromas while the flavor is hashy on the palate. Transformer finishes flowering in 9 to 11 weeks, and will stretch to about twice its vegetative height. This hybrid has uplifting mental effects and a mid-level body buzz that is good at abating minor aches and pains.    "
Trash,hybrid,4.7,"Relaxed,Happy,Uplifted,Euphoric,Focused","Pungent,Skunk,Diesel","Trash is an indica-dominant hybrid that is anything but garbage. This strain crosses Purple Trainwreck against Afghani Hash Plant, blending the mental alertness of Trainwreck with the resin production and deep, earthy aroma native to Afghani genetics. Trash is an ideal smoke for long bouts of video games or other stationary activities. These effects also lend themselves to patients suffering from chronic pain and nausea.  "
Travel-Joint,hybrid,4.5,"Relaxed,Focused,Aroused,Uplifted,Energetic","Lime,Lemon,Earthy","The Travel Joint from Green Life Productions in Nevada is a sativa-dominant strain derived from Alien Star Dawg (Alien Kush x Stardawg) and Monster Cookies genetics. Bred for the best characteristics this plant could express from Greenpoint Seeds' original genetics, the Travel Joint strain radiates with an aroma of sharp lime, fresh mint, and earthy kush. Her effects peak slowly, beginning with stimulating mind and body sensations that come to a crescendo over time. "
Treasure-Island,hybrid,4.7,"Focused,Relaxed,Uplifted,Energetic,Happy","Pepper,Spicy/Herbal,Flowery","Treasure Island is a CBD-rich strain created by Sin City Seeds. It has been known to produce 15:1 and 5:1 CBD/THC ratio phenotypes, offering consumers a mixed chemistry for a variety of applications. Emitting a delicate floral aroma, Treasure Island’s wellness oriented effects can help settle nausea, diminish inflammation, and abate physical discomfort. Add Treasure Island to your favorite THC strain for an added note of complexity.  "
Tree-Of-Life,hybrid,4.9,"Happy,Creative,Relaxed,Uplifted,Euphoric","Earthy,Spicy/Herbal,Woody","Tree of Life is a unique hybrid cross between Trainwreck and Mendocino Purps, created by Oregon OMMP growers in the late 2000s. It’s known to provide calming euphoria and an uplifting boost of creativity. With a vigorous sativa-dominant growth pattern, Tree of Life produces fully ripened buds with a rich palate of creamy orange zest and lemon balm.  An early flowerer, Tree of Life will finish its maturation cycle by the third week of September outdoors.  When consumed, Tree of Life has a pleasant taste reminiscent of sandalwood incense."
Tres-Dawg,hybrid,4.5,"Relaxed,Sleepy,Happy,Uplifted,Energetic","Citrus,Pungent,Diesel","The rare indica-dominant hybrid Tres Dawg by Top Dawg Seeds comes from Afghani #1 and a backcrossed Chemdawg. Tres Dawg gave rise to other prized hybrids like Stardawg, Dawg's Waltz, and Appalachia."
Triangle-Kush,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Creative","Earthy,Pine,Sweet","Triangle Kush is an indica originating in Florida, named after the state's three cannabis-producing capitals: Jacksonville, Miami, and Tampa. Indoor or outdoor grows are low yielders, but clear, active effects stimulating creativity and discussion drive this strain's production. Flowers are expected at around 70 days."
Trident,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Tingly","Citrus,Sweet,Pungent","Trident is a hybrid strain that is notable for its extremely high CBD content of 12%. As a result, it’s an excellent strain for managing pain or dealing with symptoms while remaining mentally focused. Trident’s low THC levels (usually under 6%) don’t mean you won’t feel any sort of cerebral effects, but they tend to be mild and unobtrusive. These sticky flowers have a pleasant sweet and sour aroma."
Trifecta,hybrid,4.4,"Tingly,Sleepy,Hungry,Happy,Uplifted","Skunk","This creatively bred strain was imagined as a tribute to three great strains created by legendary breeders The Brothers Grimm. An Apollo 11 and Apollo 13 cross (also known as Eclipse) was bred with Cinderella 99 to create this fruity triple threat."
Trinity,sativa,4.3,"Happy,Uplifted,Euphoric,Relaxed,Aroused","Earthy,Pungent,Skunk","A rumored hard to find strain, Trinity is known to have a strong skunk-like smell with an uplifting high."
Triple-Cheese,indica,4.5,"Relaxed,Sleepy,Happy,Euphoric,Tingly","Earthy,Pungent,Cheese","One cheese, two cheese, Old Cheese crossed with Blue Cheese! Triple Cheese, by world-renowned breeder Barney’s Farm, brings classic Cheese genetics together with a sweet Cheese hybrid. This odoriferous union combines the earthy, cave-aged funk of Old Cheese and the sweet and savory bouquet of Blue Cheese, creating a one-of-a-kind terpene profile. Known to consistently reach 22% THC or higher, this manageable plant offers Cheese lovers new levels of complexity while preserving enjoyable effects.   "
Triple-Diesel,sativa,4.2,"Relaxed,Focused,Sleepy,Euphoric,Happy","Diesel,Sweet,Earthy","Triple Diesel is one of those sativa strains that sure feels a lot like an indica. In smaller doses, its mental effects can be active enough to leave you focused and thoughtful, but taken in higher amounts, this strain will lead to a complete brain vacation. Its cross is the result of three diesel favorites: Sour Diesel, Strawberry Diesel and NYC Diesel, which is apparent in its sweet, stinky aroma. If you like that diesel kick, both in aroma and head effects, this is the trifecta for you."
